interaction_id,customer_id,interaction_date,interaction_type,issue_resolved
196,1160,2023-08-03,Chat,Yes
197,1001,2023-02-23,Email,No
198,1182,2023-10-21,Chat,Yes
199,1011,2023-11-26,Chat,Yes
200,1181,2023-12-02,Call,Yes
201,1008,2023-07-22,Email,Yes
202,1153,2023-10-15,Call,No
203,1168,2023-02-14,Email,Yes
204,1032,2023-11-13,Chat,Yes
205,1028,2023-07-17,Chat,No
206,1131,2023-08-04,Email,No
207,1128,2023-11-05,Call,No
208,1062,2023-11-28,Email,No
209,1027,2023-07-03,Email,Yes
210,1045,2023-01-27,Chat,No
211,1105,2023-06-15,Call,Yes
212,1092,2023-11-14,Email,No
213,1025,2023-10-01,Call,Yes
214,1189,2023-12-31,Call,No
215,1044,2023-04-13,Email,Yes
216,1174,2023-11-29,Call,Yes
217,1142,2023-04-14,Chat,No
218,1136,2023-09-02,Chat,Yes
219,1176,2023-11-01,Chat,Yes
220,1142,2023-06-18,Chat,Yes
221,1193,2023-04-26,Call,Yes
222,1080,2023-05-21,Chat,No
223,1082,2023-12-22,Email,Yes
224,1135,2023-05-05,Chat,Yes
225,1088,2023-01-25,Email,No
226,1177,2023-07-13,Email,No
227,1127,2023-04-10,Chat,No
228,1055,2023-01-05,Chat,Yes
229,1141,2023-01-19,Call,Yes
230,1184,2023-06-19,Email,No
231,1056,2023-10-01,Chat,Yes
232,1015,2023-09-11,Call,No
233,1185,2023-05-01,Chat,Yes
234,1058,2023-02-01,Chat,No
235,1163,2023-05-29,Chat,Yes
236,1088,2023-09-23,Email,No
237,1097,2023-02-06,Chat,Yes
238,1144,2023-06-26,Call,No
239,1008,2023-12-08,Chat,Yes
240,1173,2023-01-13,Chat,Yes
241,1040,2023-07-02,Call,Yes
242,1182,2023-05-25,Call,No
243,1014,2023-09-22,Email,Yes
244,1187,2023-03-29,Email,Yes
245,1053,2023-02-15,Email,Yes
246,1127,2023-04-29,Email,No
247,1155,2023-01-19,Call,Yes
248,1175,2023-08-08,Chat,No
249,1080,2023-08-21,Chat,Yes
250,1115,2023-04-04,Chat,No
251,1134,2023-09-08,Email,No
252,1055,2023-09-07,Call,Yes
253,1044,2023-10-09,Call,No
254,1018,2023-08-20,Call,No
255,1016,2023-02-15,Chat,Yes
256,1012,2023-02-15,Email,No
257,1148,2023-01-14,Call,No
258,1045,2023-03-26,Email,No
259,1192,2023-11-15,Call,No
260,1187,2023-11-24,Email,Yes
261,1093,2023-01-03,Call,No
262,1022,2023-01-28,Email,No
263,1097,2023-06-06,Call,Yes
264,1047,2023-12-09,Call,Yes
265,1029,2023-11-29,Email,No
266,1045,2023-11-28,Email,Yes
267,1077,2023-06-24,Chat,Yes
268,1009,2023-04-24,Email,Yes
269,1024,2023-11-27,Call,Yes
270,1015,2023-09-07,Call,Yes
271,1164,2023-02-28,Email,Yes
272,1013,2023-07-22,Chat,Yes
273,1091,2023-11-11,Email,Yes
274,1172,2023-08-27,Call,Yes
275,1101,2023-08-22,Call,No
276,1071,2023-10-30,Chat,No
277,1200,2023-04-05,Email,No
278,1122,2023-05-21,Call,No
279,1076,2023-11-30,Call,No
280,1164,2023-04-23,Call,Yes
281,1116,2023-04-19,Email,Yes
282,1061,2023-12-28,Email,No
283,1168,2023-12-11,Chat,No
284,1126,2023-10-16,Call,Yes
285,1155,2023-04-07,Call,No
286,1001,2023-12-01,Chat,Yes
287,1162,2023-01-16,Call,No
288,1068,2023-02-13,Chat,Yes
289,1088,2023-08-18,Chat,No
290,1021,2023-04-18,Call,Yes
291,1161,2023-08-05,Email,No
292,1135,2023-09-17,Email,No
293,1193,2023-11-08,Email,Yes
294,1003,2023-11-16,Email,Yes
295,1051,2023-07-15,Call,No
296,1079,2023-04-05,Chat,No
297,1095,2023-02-25,Chat,Yes
298,1182,2023-02-01,Call,Yes
299,1123,2023-08-19,Email,Yes
300,1187,2023-01-09,Chat,No
301,1006,2023-07-10,Call,No
302,1157,2023-12-27,Call,Yes
303,1017,2023-07-19,Email,No
304,1117,2023-11-30,Call,No
305,1060,2023-06-10,Chat,Yes
306,1150,2023-03-28,Chat,No
307,1152,2023-01-21,Call,Yes
308,1125,2023-11-07,Chat,Yes
309,1081,2023-03-17,Call,No
310,1085,2023-05-21,Chat,No
311,1051,2023-05-06,Email,Yes
312,1178,2023-09-08,Chat,Yes
313,1139,2023-03-25,Email,Yes
314,1184,2023-02-17,Email,No
315,1071,2023-03-19,Call,Yes
316,1170,2023-01-30,Email,Yes
317,1039,2023-10-12,Chat,Yes
318,1069,2023-05-16,Chat,Yes
319,1048,2023-05-20,Email,No
320,1125,2023-02-10,Call,No
321,1057,2023-10-09,Email,Yes
322,1021,2023-02-19,Chat,No
323,1082,2023-09-15,Chat,No
324,1099,2023-11-07,Email,No
325,1148,2023-12-26,Email,Yes
326,1015,2023-09-27,Email,No
327,1069,2023-05-14,Chat,No
328,1179,2023-08-22,Chat,Yes
329,1076,2023-05-08,Chat,Yes
330,1062,2023-04-14,Call,No
331,1119,2023-09-11,Chat,No
332,1037,2023-04-05,Chat,Yes
333,1134,2023-12-03,Call,Yes
334,1199,2023-08-05,Call,Yes
335,1026,2023-03-02,Call,Yes
336,1008,2023-09-25,Call,No
337,1004,2023-08-29,Call,Yes
338,1021,2023-01-13,Call,No
339,1159,2023-05-27,Email,No
340,1149,2023-08-28,Email,No
341,1025,2023-03-30,Email,Yes
342,1143,2023-04-05,Email,Yes
343,1163,2023-11-11,Chat,No
344,1177,2023-10-20,Call,No
345,1043,2023-01-25,Chat,No
346,1169,2023-09-29,Call,No
347,1037,2023-06-15,Call,No
348,1185,2023-09-07,Chat,Yes
349,1042,2023-03-28,Email,Yes
350,1175,2023-05-22,Chat,Yes
351,1092,2023-05-14,Chat,No
352,1061,2023-10-06,Call,No
353,1142,2023-05-06,Call,Yes
354,1068,2023-11-12,Call,Yes
355,1053,2023-05-21,Email,No
356,1084,2023-12-22,Chat,Yes
357,1034,2023-04-13,Chat,Yes
358,1076,2023-08-14,Email,Yes
359,1097,2023-03-04,Chat,No
360,1152,2023-10-21,Chat,No
361,1148,2023-11-02,Call,Yes
362,1197,2023-09-11,Email,No
363,1030,2023-06-29,Call,Yes
364,1088,2023-02-09,Email,Yes
365,1007,2023-09-21,Call,No
366,1036,2023-07-08,Chat,No
367,1038,2023-01-08,Email,No
368,1052,2023-04-14,Email,Yes
369,1143,2023-08-13,Call,Yes
370,1174,2023-02-03,Email,Yes
371,1151,2023-08-24,Chat,No
372,1140,2023-08-16,Chat,Yes
373,1172,2023-07-07,Chat,Yes
374,1143,2023-11-09,Call,Yes
375,1093,2023-01-22,Email,Yes
376,1107,2023-12-09,Call,No
377,1126,2023-02-09,Chat,No
378,1049,2023-06-22,Email,No
379,1021,2023-06-28,Chat,Yes
380,1015,2023-03-27,Email,Yes
381,1014,2023-05-13,Email,Yes
382,1042,2023-12-17,Call,No
383,1015,2023-01-13,Email,No
384,1063,2023-01-28,Chat,No
385,1196,2023-03-25,Email,No
386,1027,2023-11-14,Chat,No
387,1093,2023-12-15,Call,Yes
388,1105,2023-12-09,Chat,No
389,1053,2023-10-07,Email,No
390,1052,2023-12-20,Chat,No
391,1063,2023-09-20,Chat,Yes
392,1181,2023-06-15,Email,No
393,1057,2023-10-20,Chat,No
394,1120,2023-03-09,Email,No
395,1052,2023-08-14,Call,Yes
396,1107,2023-06-19,Chat,Yes
397,1043,2023-03-27,Call,No
398,1135,2023-05-13,Chat,No
399,1117,2023-06-27,Chat,No
400,1170,2023-12-09,Call,No
401,1004,2023-09-09,Chat,Yes
402,1197,2023-01-15,Chat,No
403,1133,2023-08-11,Call,Yes
404,1080,2023-07-20,Chat,No
405,1041,2023-04-17,Email,Yes
406,1132,2023-09-07,Chat,Yes
407,1002,2023-03-30,Chat,No
408,1195,2023-05-05,Chat,Yes
409,1149,2023-04-23,Call,No
410,1198,2023-05-17,Email,Yes
411,1043,2023-09-04,Email,Yes
412,1082,2023-06-15,Chat,No
413,1108,2023-05-30,Call,No
414,1197,2023-12-29,Call,Yes
415,1137,2023-12-09,Email,Yes
416,1156,2023-03-09,Call,No
417,1026,2023-08-09,Chat,No
418,1082,2023-09-28,Chat,No
419,1083,2023-11-17,Call,Yes
420,1131,2023-11-06,Chat,No
421,1073,2023-12-15,Email,No
422,1100,2023-01-20,Chat,Yes
423,1049,2023-10-16,Call,No
424,1145,2023-04-10,Email,No
425,1063,2023-09-09,Chat,No
426,1055,2023-03-18,Email,No
427,1151,2023-05-15,Call,Yes
428,1034,2023-06-22,Chat,No
429,1105,2023-12-29,Chat,No
430,1105,2023-07-20,Email,No
431,1069,2023-08-05,Chat,No
432,1015,2023-07-27,Chat,No
433,1175,2023-03-15,Chat,No
434,1003,2023-01-11,Chat,Yes
435,1156,2023-10-14,Call,Yes
436,1003,2023-09-13,Chat,Yes
437,1102,2023-01-12,Email,No
438,1004,2023-03-19,Call,No
439,1088,2023-06-21,Email,No
440,1159,2023-04-06,Email,Yes
441,1045,2023-11-02,Email,No
442,1187,2023-09-30,Call,Yes
443,1045,2023-06-28,Call,No
444,1075,2023-03-05,Call,No
445,1165,2023-05-12,Chat,Yes
446,1193,2023-12-09,Email,Yes
447,1009,2023-09-29,Call,Yes
448,1145,2023-11-15,Email,Yes
449,1118,2023-11-28,Call,Yes
450,1065,2023-12-07,Call,Yes
451,1131,2023-04-19,Call,No
452,1026,2023-09-30,Email,Yes
453,1181,2023-06-17,Chat,No
454,1159,2023-06-29,Call,No
455,1026,2023-02-27,Call,No
456,1023,2023-03-20,Call,No
457,1030,2023-03-02,Chat,No
458,1010,2023-05-01,Email,Yes
459,1072,2023-07-26,Email,Yes
460,1064,2023-02-03,Email,Yes
461,1150,2023-03-11,Email,No
462,1143,2023-01-17,Call,Yes
463,1123,2023-01-20,Chat,No
464,1105,2023-11-11,Call,No
465,1184,2023-03-10,Chat,No
466,1074,2023-08-03,Email,No
467,1148,2023-06-10,Chat,Yes
468,1105,2023-04-12,Call,Yes
469,1047,2023-07-25,Call,Yes
470,1087,2023-05-25,Email,Yes
471,1053,2023-02-26,Call,Yes
472,1181,2023-03-24,Call,No
473,1129,2023-09-26,Chat,Yes
474,1002,2023-07-06,Call,No
475,1058,2023-01-06,Email,No
476,1147,2023-12-19,Email,No
477,1190,2023-12-16,Call,Yes
478,1072,2023-04-20,Email,No
479,1140,2023-05-18,Chat,No
480,1154,2023-02-20,Chat,Yes
481,1027,2023-02-20,Call,No
482,1029,2023-03-28,Call,No
483,1015,2023-03-09,Chat,No
484,1174,2023-03-25,Email,Yes
485,1129,2023-02-11,Call,No
486,1060,2023-08-07,Call,No
487,1107,2023-02-26,Email,Yes
488,1185,2023-08-14,Call,Yes
489,1003,2023-07-15,Email,No
490,1115,2023-09-05,Email,Yes
491,1146,2023-06-15,Email,Yes
492,1052,2023-03-03,Email,Yes
493,1060,2023-09-20,Email,Yes
494,1034,2023-04-22,Chat,Yes
495,1096,2023-09-10,Email,Yes
496,1089,2023-07-18,Chat,Yes
497,1060,2023-06-27,Email,No
498,1154,2023-01-26,Call,Yes
499,1200,2023-09-03,Chat,Yes
500,1019,2023-01-19,Call,Yes
501,1111,2023-09-22,Email,No
502,1022,2023-11-13,Email,Yes
503,1161,2023-01-20,Call,Yes
504,1166,2023-04-16,Email,No
505,1128,2023-08-25,Call,Yes
506,1035,2023-11-02,Email,No
507,1107,2023-09-03,Email,No
508,1128,2023-03-22,Chat,Yes
509,1195,2023-05-30,Call,No
510,1083,2023-01-10,Email,Yes
511,1138,2023-11-17,Call,Yes
512,1143,2023-08-12,Chat,No
513,1139,2023-09-21,Call,No
514,1111,2023-05-29,Chat,Yes
515,1090,2023-10-05,Call,Yes
516,1024,2023-10-01,Call,No
517,1077,2023-07-13,Chat,Yes
518,1101,2023-06-21,Email,Yes
519,1132,2023-09-22,Email,Yes
520,1013,2023-11-06,Email,No
521,1185,2023-01-26,Call,Yes
522,1098,2023-12-16,Call,Yes
523,1120,2023-12-22,Email,Yes
524,1037,2023-01-26,Call,No
525,1048,2023-02-03,Call,No
526,1199,2023-09-21,Email,No
527,1001,2023-05-18,Chat,Yes
528,1060,2023-10-31,Call,No
529,1140,2023-07-02,Call,Yes
530,1149,2023-12-29,Call,No
531,1139,2023-08-30,Call,Yes
532,1044,2023-02-23,Chat,No
533,1115,2023-06-17,Email,Yes
534,1186,2023-04-29,Call,Yes
535,1108,2023-05-23,Email,No
536,1044,2023-03-22,Call,Yes
537,1078,2023-09-02,Chat,No
538,1162,2023-12-18,Email,No
539,1025,2023-12-24,Chat,Yes
540,1132,2023-03-03,Call,Yes
541,1192,2023-02-15,Chat,No
542,1116,2023-03-28,Chat,No
543,1119,2023-04-09,Call,No
544,1144,2023-10-22,Call,Yes
545,1010,2023-02-22,Email,No
546,1109,2023-07-11,Call,Yes
547,1194,2023-03-21,Email,Yes
548,1035,2023-01-16,Chat,No
549,1134,2023-12-26,Chat,No
550,1019,2023-11-22,Email,Yes
551,1187,2023-07-13,Call,Yes
552,1181,2023-05-21,Call,Yes
553,1008,2023-04-18,Chat,Yes
554,1010,2023-10-30,Email,No
555,1195,2023-09-22,Chat,Yes
556,1166,2023-10-17,Chat,No
557,1029,2023-07-28,Call,No
558,1015,2023-06-14,Email,No
559,1087,2023-12-08,Chat,Yes
560,1023,2023-11-16,Call,Yes
561,1046,2023-06-01,Chat,No
562,1028,2023-10-17,Chat,No
563,1026,2023-09-25,Call,No
564,1010,2023-05-31,Call,No
565,1175,2023-07-26,Email,Yes
566,1004,2023-09-12,Chat,No
567,1055,2023-12-19,Email,Yes
568,1066,2023-05-21,Call,Yes
569,1067,2023-12-09,Call,Yes
570,1135,2023-12-24,Chat,Yes
571,1055,2023-04-06,Email,No
572,1031,2023-08-15,Email,Yes
573,1074,2023-07-12,Chat,No
574,1019,2023-10-30,Chat,Yes
575,1156,2023-11-10,Email,No
576,1081,2023-04-28,Call,No
577,1156,2023-01-05,Call,No
578,1147,2023-12-18,Chat,No
579,1087,2023-08-31,Email,No
580,1020,2023-01-21,Email,Yes
581,1013,2023-06-01,Email,No
582,1077,2023-05-08,Call,Yes
583,1043,2023-05-04,Call,No
584,1139,2023-05-26,Email,Yes
585,1176,2023-10-04,Email,Yes
586,1143,2023-11-06,Chat,Yes
587,1145,2023-06-01,Chat,No
588,1182,2023-12-26,Email,Yes
589,1050,2023-04-21,Email,No
590,1028,2023-04-26,Call,No
591,1004,2023-07-07,Email,Yes
592,1022,2023-02-26,Chat,Yes
593,1119,2023-09-08,Call,No
594,1101,2023-05-30,Chat,No
595,1039,2023-06-11,Chat,No
596,1034,2023-04-30,Call,No
597,1097,2023-03-11,Chat,No
598,1044,2023-12-17,Email,No
599,1170,2023-04-09,Chat,Yes
600,1040,2023-06-16,Call,No
