customer_id,age,gender,city,signup_date,customer_segment
1045,47,Female,Delhi,2021-05-13,Regular
1046,30,Female,Delhi,2022-10-13,Enterprise
1047,58,Female,Hyderabad,2021-05-01,Regular
1048,33,Male,Bangalore,2022-08-29,Premium
1049,22,Male,Bangalore,2022-03-28,Enterprise
1050,45,Male,Bangalore,2021-05-09,Premium
1051,56,Male,Mumbai,2021-04-01,Premium
1052,62,Male,Mumbai,2022-08-27,Regular
1053,37,Male,Chennai,2022-07-29,Enterprise
1054,41,Female,Mumbai,2021-01-29,Premium
1055,44,Male,Mumbai,2022-12-23,Regular
1056,47,Female,Mumbai,2022-06-08,Regular
1057,62,Male,Hyderabad,2021-11-29,Regular
1058,44,Male,Mumbai,2021-10-24,Premium
1059,43,Male,Delhi,2021-05-10,Regular
1060,24,Female,Delhi,2021-10-20,Enterprise
1061,59,Male,Chennai,2021-06-22,Enterprise
1062,64,Male,Hyderabad,2022-12-21,Premium
1063,55,Female,Delhi,2021-01-24,Enterprise
1064,22,Female,Hyderabad,2021-04-09,Regular
1065,40,Female,Hyderabad,2022-02-10,Premium
1066,45,Female,Chennai,2021-12-22,Regular
1067,51,Male,Hyderabad,2021-05-19,Premium
1068,32,Female,Mumbai,2022-05-18,Premium
1069,49,Male,Hyderabad,2021-06-23,Regular
1070,43,Male,Chennai,2021-01-29,Enterprise
1071,48,Female,Chennai,2022-05-11,Enterprise
1072,36,Male,Chennai,2022-10-17,Premium
1073,26,Female,Delhi,2021-12-17,Regular
1074,46,Male,Mumbai,2022-07-08,Regular
1075,56,Female,Delhi,2021-10-26,Premium
1076,21,Female,Bangalore,2022-12-21,Enterprise
1077,20,Female,Mumbai,2021-07-11,Regular
1078,46,Female,Hyderabad,2022-11-03,Enterprise
1079,28,Female,Chennai,2021-03-05,Enterprise
1080,50,Female,Bangalore,2023-01-25,Premium
1081,55,Male,Mumbai,2023-02-09,Premium
1082,28,Male,Delhi,2022-10-26,Enterprise
1083,44,Male,Chennai,2021-08-03,Regular
1084,50,Female,Delhi,2021-06-15,Regular
1085,38,Male,Mumbai,2022-06-27,Premium
1086,56,Female,Mumbai,2021-08-20,Enterprise
1087,48,Male,Bangalore,2023-03-05,Regular
1088,55,Male,Hyderabad,2022-06-25,Regular
1089,63,Female,Delhi,2021-07-14,Premium
1090,19,Male,Bangalore,2022-05-21,Enterprise
1091,44,Male,Chennai,2021-11-30,Regular
1092,53,Male,Hyderabad,2023-02-07,Premium
1093,28,Female,Bangalore,2023-03-04,Regular
1094,64,Male,Delhi,2021-10-31,Regular
1095,35,Female,Mumbai,2022-03-13,Regular
1096,18,Male,Chennai,2021-11-19,Premium
1097,52,Male,Delhi,2022-05-17,Enterprise
1098,52,Male,Hyderabad,2022-01-28,Premium
1099,48,Male,Hyderabad,2022-08-22,Enterprise
1100,45,Female,Mumbai,2021-05-29,Regular
1101,56,Male,Mumbai,2023-01-31,Enterprise
1102,18,Female,Chennai,2022-02-09,Regular
1103,42,Female,Chennai,2021-10-10,Regular
1104,60,Male,Mumbai,2021-12-28,Premium
1105,55,Male,Mumbai,2022-01-14,Regular
1106,37,Female,Hyderabad,2021-07-17,Premium
1107,20,Female,Mumbai,2022-07-10,Enterprise
1108,19,Male,Bangalore,2021-12-22,Enterprise
1109,35,Male,Delhi,2022-06-24,Regular
1110,61,Male,Mumbai,2022-03-05,Premium
1111,27,Male,Chennai,2021-01-17,Regular
1112,22,Male,Bangalore,2022-10-01,Premium
1113,26,Female,Chennai,2022-01-14,Premium
1114,19,Male,Bangalore,2022-11-11,Premium
1115,51,Male,Mumbai,2022-05-21,Enterprise
1116,55,Female,Delhi,2023-01-26,Premium
1117,48,Male,Chennai,2021-03-17,Enterprise
1118,27,Male,Bangalore,2021-08-19,Premium
1119,29,Female,Hyderabad,2022-12-17,Enterprise
1120,53,Male,Mumbai,2021-09-05,Enterprise
1121,38,Female,Delhi,2021-10-29,Enterprise
1122,64,Male,Mumbai,2022-12-27,Regular
1123,23,Male,Hyderabad,2021-08-03,Premium
1124,20,Male,Delhi,2021-06-07,Regular
1125,27,Female,Hyderabad,2021-03-10,Premium
1126,22,Female,Mumbai,2022-01-28,Premium
1127,63,Female,Bangalore,2021-03-26,Regular
1128,43,Female,Mumbai,2021-09-24,Enterprise
1129,38,Male,Mumbai,2021-03-10,Premium
1130,62,Female,Mumbai,2022-09-03,Enterprise
1131,43,Female,Chennai,2021-12-13,Regular
1132,55,Female,Hyderabad,2022-12-29,Enterprise
1133,61,Male,Hyderabad,2022-11-04,Premium
1134,43,Male,Hyderabad,2022-02-27,Premium
1135,25,Female,Chennai,2022-08-29,Premium
1136,22,Female,Bangalore,2021-06-23,Regular
1137,32,Male,Mumbai,2022-11-08,Premium
1138,33,Female,Bangalore,2021-04-25,Regular
1139,18,Female,Chennai,2021-08-08,Enterprise
1140,33,Female,Hyderabad,2021-01-31,Premium
1141,54,Female,Mumbai,2022-06-07,Premium
1142,20,Male,Delhi,2021-12-09,Premium
1143,64,Male,Delhi,2022-01-12,Enterprise
1144,48,Male,Bangalore,2021-05-10,Premium
1145,30,Female,Hyderabad,2022-09-09,Regular
1146,33,Female,Delhi,2022-06-23,Enterprise
1147,60,Male,Bangalore,2023-01-09,Enterprise
1148,38,Male,Chennai,2021-01-02,Enterprise
1149,19,Male,Bangalore,2021-04-11,Enterprise
1150,44,Female,Bangalore,2022-06-17,Enterprise
1151,55,Male,Bangalore,2021-02-27,Regular
1152,43,Female,Mumbai,2022-01-24,Enterprise
1153,55,Female,Bangalore,2022-11-23,Premium
1154,63,Male,Bangalore,2021-12-07,Enterprise
1155,42,Male,Mumbai,2021-01-20,Enterprise
1156,28,Female,Mumbai,2021-09-12,Enterprise
1157,25,Male,Chennai,2021-11-13,Enterprise
1158,25,Male,Hyderabad,2021-02-07,Enterprise
1159,50,Female,Delhi,2022-10-22,Regular
1160,24,Female,Delhi,2022-06-21,Regular
1161,55,Female,Bangalore,2022-01-21,Enterprise
1162,38,Female,Chennai,2022-09-25,Regular
1163,25,Female,Bangalore,2021-01-26,Premium
1164,38,Male,Delhi,2022-03-30,Enterprise
1165,37,Female,Mumbai,2022-11-12,Premium
1166,25,Female,Hyderabad,2021-11-19,Premium
1167,63,Female,Chennai,2023-01-07,Enterprise
1168,48,Male,Mumbai,2022-05-28,Premium
1169,46,Female,Hyderabad,2023-02-12,Premium
1170,26,Female,Chennai,2021-01-13,Premium
1171,32,Female,Chennai,2022-07-14,Enterprise
1172,47,Male,Delhi,2022-01-06,Enterprise
1173,43,Female,Mumbai,2021-10-18,Premium
1174,27,Female,Chennai,2021-11-28,Enterprise
1175,46,Female,Chennai,2022-08-29,Enterprise
1176,33,Male,Hyderabad,2021-09-18,Premium
1177,53,Male,Delhi,2023-03-01,Enterprise
1178,37,Male,Bangalore,2021-07-24,Regular
1179,62,Male,Delhi,2022-11-28,Enterprise
1180,54,Female,Bangalore,2022-11-18,Regular
1181,39,Female,Mumbai,2022-01-22,Premium
1182,24,Male,Mumbai,2022-04-13,Enterprise
1183,40,Male,Chennai,2022-02-19,Premium
1184,58,Female,Mumbai,2021-03-10,Premium
1185,57,Female,Chennai,2022-04-17,Premium
1186,46,Male,Delhi,2021-04-14,Premium
1187,33,Male,Mumbai,2023-01-28,Premium
1188,55,Male,Delhi,2021-06-10,Enterprise
1189,45,Male,Delhi,2021-07-19,Regular
1190,55,Female,Mumbai,2021-08-04,Enterprise
1191,48,Male,Delhi,2021-07-31,Enterprise
1192,31,Male,Mumbai,2022-05-23,Enterprise
1193,50,Female,Mumbai,2021-01-16,Enterprise
1194,26,Female,Mumbai,2022-05-13,Regular
1195,44,Female,Bangalore,2021-11-28,Enterprise
1196,41,Female,Delhi,2022-12-18,Premium
1197,30,Female,Hyderabad,2022-07-05,Enterprise
1198,43,Male,Mumbai,2022-08-24,Enterprise
1199,46,Male,Delhi,2021-09-13,Regular
1200,60,Male,Chennai,2023-02-05,Regular
