order_id,customer_id,order_date,product,region,sales_channel,units_sold,unit_price,revenue
5039,1175,2023-06-20,Software,West,Offline,7,17565,122955
5040,1190,2023-12-22,Mobile,South,Online,5,22138,110690
5041,1051,2023-11-20,Tablet,West,Offline,5,1573,7865
5042,1108,2023-05-13,Laptop,East,Online,6,47011,282066
5043,1055,2023-10-20,Laptop,East,Online,4,29820,119280
5044,1064,2023-11-24,Laptop,South,Online,2,70376,140752
5045,1131,2023-05-07,Tablet,South,Online,6,35424,212544
5046,1051,2023-04-16,Tablet,South,Online,1,41234,41234
5047,1135,2023-04-02,Accessories,West,Offline,7,68616,480312
5048,1021,2023-10-14,Mobile,South,Online,7,40525,283675
5049,1073,2023-02-20,Accessories,East,Online,2,2659,5318
5050,1167,2023-01-29,Mobile,East,Online,5,49440,247200
5051,1018,2023-10-23,Tablet,North,Online,7,15178,106246
5052,1132,2023-10-24,Tablet,West,Offline,2,61575,123150
5053,1089,2023-08-02,Accessories,North,Online,7,47704,333928
5054,1060,2023-09-24,Software,East,Offline,7,12521,87647
5055,1014,2023-09-14,Accessories,North,Online,4,7272,29088
5056,1009,2023-10-29,Mobile,East,Offline,1,67663,67663
5057,1090,2023-04-11,Accessories,North,Online,4,74255,297020
5058,1053,2023-12-12,Laptop,South,Online,1,23964,23964
5059,1130,2023-04-20,Mobile,North,Offline,7,51637,361459
5060,1084,2023-07-01,Mobile,South,Online,6,30732,184392
5061,1092,2023-11-09,Software,South,Offline,5,61997,309985
5062,1111,2023-01-01,Tablet,West,Online,7,74524,521668
5063,1188,2023-11-15,Mobile,South,Offline,1,51948,51948
5064,1199,2023-02-24,Tablet,South,Online,1,1401,1401
5065,1172,2023-05-29,Accessories,North,Online,1,3381,3381
5066,1008,2023-11-05,Laptop,East,Offline,7,30363,212541
5067,1175,2023-05-17,Software,West,Online,2,6122,12244
5068,1035,2023-07-21,Tablet,South,Online,6,1878,11268
5069,1081,2023-11-09,Mobile,West,Online,2,71686,143372
5070,1164,2023-04-27,Tablet,North,Online,5,45701,228505
5071,1050,2023-06-03,Mobile,South,Online,7,59751,418257
5072,1104,2023-10-18,Tablet,North,Online,1,73072,73072
5073,1132,2023-03-04,Mobile,West,Offline,6,39755,238530
5074,1002,2023-09-01,Accessories,North,Offline,6,63712,382272
5075,1134,2023-01-25,Mobile,West,Offline,3,50710,152130
5076,1054,2023-03-31,Mobile,North,Online,5,22999,114995
5077,1106,2023-03-16,Laptop,West,Offline,6,52128,312768
5078,1004,2023-10-21,Mobile,East,Online,7,61860,433020
5079,1054,2023-07-29,Laptop,North,Online,1,5103,5103
5080,1191,2023-12-13,Software,North,Online,1,13132,13132
5081,1146,2023-01-17,Laptop,East,Online,6,31107,186642
5082,1044,2023-05-08,Accessories,East,Offline,2,66256,132512
5083,1162,2023-12-30,Laptop,North,Online,5,47494,237470
5084,1190,2023-09-08,Software,East,Offline,1,63882,63882
5085,1014,2023-06-28,Accessories,South,Online,6,70854,425124
5086,1095,2023-07-01,Tablet,West,Offline,1,56844,56844
5087,1048,2023-06-01,Tablet,West,Offline,6,54275,325650
5088,1015,2023-01-25,Laptop,West,Offline,5,7849,39245
5089,1200,2023-06-29,Laptop,South,Offline,6,71654,429924
5090,1190,2023-07-17,Software,East,Offline,3,27964,83892
5091,1040,2023-12-10,Software,East,Offline,6,43124,258744
5092,1082,2023-06-10,Mobile,North,Online,6,37844,227064
5093,1111,2023-06-26,Software,East,Offline,7,24799,173593
5094,1053,2023-10-12,Mobile,North,Online,5,48475,242375
5095,1024,2023-03-04,Accessories,South,Offline,7,1962,13734
5096,1154,2023-05-30,Laptop,West,Online,6,41081,246486
5097,1188,2023-06-03,Accessories,West,Offline,5,71789,358945
5098,1124,2023-06-05,Software,West,Offline,3,14675,44025
5099,1041,2023-02-18,Accessories,East,Online,5,6691,33455
5100,1157,2023-12-03,Accessories,North,Offline,1,67037,67037
5101,1015,2023-03-25,Accessories,North,Offline,7,48145,337015
5102,1045,2023-12-27,Software,South,Offline,5,23783,118915
5103,1065,2023-06-26,Accessories,East,Online,3,59623,178869
5104,1089,2023-05-28,Mobile,South,Offline,4,30524,122096
5105,1071,2023-04-28,Software,North,Online,6,50130,300780
5106,1009,2023-12-08,Accessories,North,Offline,5,31234,156170
5107,1088,2023-03-04,Software,West,Offline,6,1015,6090
5108,1129,2023-07-08,Tablet,East,Online,2,67227,134454
5109,1136,2023-12-26,Mobile,North,Offline,1,46716,46716
5110,1063,2023-02-18,Accessories,West,Offline,7,72333,506331
5111,1139,2023-11-23,Tablet,East,Online,1,59255,59255
5112,1081,2023-09-14,Tablet,South,Offline,2,28356,56712
5113,1136,2023-08-12,Software,East,Online,2,74370,148740
5114,1163,2023-05-21,Tablet,East,Online,7,24662,172634
5115,1163,2023-08-03,Mobile,North,Online,5,6508,32540
5116,1033,2023-07-30,Mobile,North,Offline,2,8487,16974
5117,1123,2023-11-14,Laptop,East,Online,4,63032,252128
5118,1005,2023-02-01,Mobile,North,Online,6,3832,22992
5119,1041,2023-06-07,Tablet,North,Offline,6,66823,400938
5120,1028,2023-10-12,Mobile,North,Online,3,39490,118470
5121,1135,2023-11-01,Software,West,Offline,2,10373,20746
5122,1072,2023-10-13,Laptop,West,Offline,2,36944,73888
5123,1012,2023-05-24,Tablet,East,Offline,4,35840,143360
5124,1162,2023-01-19,Laptop,North,Offline,1,5533,5533
5125,1033,2023-01-18,Tablet,West,Online,1,73824,73824
5126,1048,2023-09-14,Software,East,Online,6,16189,97134
5127,1151,2023-03-19,Laptop,North,Online,6,566,3396
5128,1062,2023-06-24,Accessories,South,Online,5,45746,228730
5129,1037,2023-07-13,Tablet,North,Online,7,8033,56231
5130,1099,2023-04-23,Accessories,North,Offline,4,70652,282608
5131,1172,2023-04-24,Laptop,West,Online,7,60158,421106
5132,1104,2023-08-10,Accessories,East,Online,7,38998,272986
5133,1035,2023-06-15,Accessories,East,Online,3,12272,36816
5134,1193,2023-11-15,Laptop,West,Offline,7,49536,346752
5135,1101,2023-05-12,Software,North,Offline,3,59031,177093
5136,1175,2023-09-21,Accessories,South,Online,7,13440,94080
5137,1131,2023-02-24,Accessories,North,Offline,4,17432,69728
5138,1001,2023-12-25,Software,North,Online,3,57327,171981
5139,1005,2023-05-11,Accessories,South,Online,1,61931,61931
5140,1142,2023-10-15,Accessories,West,Offline,3,25148,75444
5141,1103,2023-09-23,Accessories,East,Offline,3,33466,100398
5142,1027,2023-06-11,Mobile,West,Online,4,28277,113108
5143,1137,2023-03-28,Software,West,Online,4,33067,132268
5144,1015,2023-02-24,Accessories,North,Offline,3,17674,53022
5145,1090,2023-10-15,Software,East,Online,2,43098,86196
5146,1042,2023-06-27,Tablet,East,Offline,4,59699,238796
5147,1124,2023-12-15,Tablet,West,Online,5,14298,71490
5148,1179,2023-01-08,Accessories,South,Offline,5,65864,329320
5149,1063,2023-11-17,Software,West,Online,1,18058,18058
5150,1096,2023-11-09,Software,South,Online,7,61584,431088
5151,1052,2023-09-04,Software,East,Offline,3,44737,134211
5152,1096,2023-11-19,Mobile,West,Online,2,65997,131994
5153,1132,2023-09-12,Tablet,North,Online,1,678,678
5154,1151,2023-11-24,Software,West,Offline,3,17618,52854
5155,1143,2023-02-23,Software,East,Online,4,23116,92464
5156,1171,2023-09-06,Mobile,North,Online,5,1298,6490
5157,1029,2023-08-27,Mobile,North,Online,6,8101,48606
5158,1036,2023-08-17,Software,South,Offline,2,25863,51726
5159,1013,2023-03-08,Laptop,North,Offline,6,3295,19770
5160,1160,2023-02-20,Software,North,Offline,5,45764,228820
5161,1071,2023-04-07,Software,West,Online,7,73333,513331
5162,1187,2023-04-02,Mobile,East,Online,7,3584,25088
5163,1086,2023-09-21,Mobile,South,Online,6,1231,7386
5164,1028,2023-10-18,Software,West,Online,4,1629,6516
5165,1066,2023-04-06,Software,North,Offline,3,28522,85566
5166,1170,2023-03-29,Software,North,Online,4,2105,8420
5167,1045,2023-03-19,Mobile,South,Online,6,44630,267780
5168,1062,2023-10-15,Software,East,Online,4,29765,119060
5169,1185,2023-04-30,Software,South,Offline,5,32830,164150
5170,1134,2023-10-29,Accessories,West,Online,2,68969,137938
5171,1028,2023-06-14,Laptop,South,Online,4,15687,62748
5172,1028,2023-07-01,Tablet,North,Online,5,26291,131455
5173,1108,2023-08-11,Laptop,West,Online,2,71110,142220
5174,1044,2023-11-07,Accessories,North,Online,7,40367,282569
5175,1084,2023-01-07,Tablet,East,Offline,3,1393,4179
5176,1030,2023-11-26,Software,North,Online,6,20273,121638
5177,1190,2023-09-20,Accessories,North,Online,7,4739,33173
5178,1075,2023-06-10,Software,South,Online,3,21363,64089
5179,1128,2023-05-31,Mobile,North,Online,7,51915,363405
5180,1092,2023-03-26,Accessories,West,Online,1,69468,69468
5181,1190,2023-05-27,Mobile,West,Online,7,60930,426510
5182,1129,2023-04-22,Accessories,East,Online,5,2015,10075
5183,1121,2023-02-05,Accessories,West,Online,2,15105,30210
5184,1027,2023-10-12,Mobile,South,Online,7,56740,397180
5185,1190,2023-07-07,Tablet,East,Online,4,6086,24344
5186,1121,2023-03-23,Laptop,West,Offline,3,31686,95058
5187,1116,2023-01-02,Software,South,Offline,7,27428,191996
5188,1003,2023-10-30,Accessories,West,Offline,2,21211,42422
5189,1103,2023-07-16,Software,West,Offline,5,55462,277310
5190,1198,2023-01-11,Mobile,North,Online,1,20539,20539
5191,1200,2023-08-22,Software,West,Offline,3,37061,111183
5192,1155,2023-07-14,Mobile,West,Offline,6,2077,12462
5193,1137,2023-04-29,Software,South,Online,2,28850,57700
5194,1062,2023-01-20,Laptop,South,Offline,6,34298,205788
5195,1165,2023-09-18,Laptop,North,Offline,2,11285,22570
5196,1051,2023-10-20,Laptop,West,Online,2,72727,145454
5197,1172,2023-09-13,Laptop,North,Online,5,62457,312285
5198,1152,2023-08-10,Laptop,West,Online,5,65931,329655
5199,1059,2023-08-14,Laptop,East,Offline,5,17797,88985
5200,1118,2023-02-22,Mobile,East,Offline,7,72394,506758
5201,1160,2023-12-21,Accessories,North,Online,4,64272,257088
5202,1096,2023-12-08,Software,North,Online,2,20081,40162
5203,1180,2023-12-30,Laptop,North,Offline,3,55692,167076
5204,1113,2023-10-07,Mobile,South,Online,6,1962,11772
5205,1062,2023-03-22,Mobile,South,Offline,5,64673,323365
5206,1186,2023-07-21,Mobile,South,Online,7,16011,112077
5207,1052,2023-06-07,Accessories,North,Online,5,49165,245825
5208,1012,2023-04-30,Software,West,Offline,6,44914,269484
5209,1039,2023-02-28,Accessories,East,Online,6,73073,438438
5210,1130,2023-08-03,Tablet,North,Online,2,13886,27772
5211,1131,2023-05-08,Mobile,South,Online,5,54960,274800
5212,1113,2023-08-12,Tablet,South,Offline,6,6721,40326
5213,1101,2023-07-28,Laptop,North,Online,4,23974,95896
5214,1113,2023-04-25,Laptop,North,Online,4,21545,86180
5215,1184,2023-07-28,Accessories,South,Online,5,5422,27110
5216,1081,2023-01-14,Software,West,Online,7,23206,162442
5217,1187,2023-01-09,Tablet,South,Online,6,43271,259626
5218,1113,2023-02-09,Software,South,Online,2,52835,105670
5219,1002,2023-08-25,Accessories,North,Offline,2,53449,106898
5220,1130,2023-10-08,Laptop,West,Offline,7,71214,498498
5221,1054,2023-12-25,Software,South,Online,2,15740,31480
5222,1087,2023-07-20,Software,South,Offline,1,3216,3216
5223,1129,2023-09-03,Laptop,East,Offline,5,17074,85370
5224,1147,2023-10-05,Tablet,North,Online,2,74217,148434
5225,1126,2023-08-23,Laptop,East,Offline,4,44566,178264
5226,1130,2023-01-04,Software,East,Offline,6,62326,373956
5227,1053,2023-06-03,Tablet,South,Offline,3,20713,62139
5228,1172,2023-01-29,Tablet,North,Offline,7,72416,506912
5229,1160,2023-04-19,Laptop,West,Offline,3,66651,199953
5230,1198,2023-04-08,Software,South,Offline,2,51406,102812
5231,1160,2023-08-03,Accessories,West,Offline,3,963,2889
5232,1068,2023-10-20,Software,West,Offline,3,32473,97419
5233,1183,2023-03-16,Mobile,North,Online,1,21151,21151
5234,1184,2023-11-22,Accessories,East,Online,4,69194,276776
5235,1123,2023-05-26,Tablet,North,Offline,7,20508,143556
5236,1145,2023-05-08,Accessories,West,Offline,4,70974,283896
5237,1038,2023-12-07,Tablet,South,Online,1,38685,38685
5238,1024,2023-02-11,Tablet,West,Offline,1,74917,74917
5239,1069,2023-12-22,Accessories,South,Offline,3,71639,214917
5240,1116,2023-02-10,Tablet,South,Online,5,35480,177400
5241,1098,2023-02-03,Tablet,North,Online,6,23004,138024
5242,1198,2023-01-17,Mobile,West,Online,6,55470,332820
5243,1139,2023-06-14,Software,East,Offline,3,17266,51798
5244,1144,2023-06-02,Software,West,Offline,6,12195,73170
5245,1097,2023-03-17,Mobile,West,Online,1,18296,18296
5246,1124,2023-03-28,Accessories,East,Online,4,43043,172172
5247,1187,2023-04-27,Laptop,North,Offline,6,15059,90354
5248,1070,2023-12-28,Laptop,West,Online,7,33639,235473
5249,1093,2023-12-08,Laptop,West,Offline,3,9302,27906
5250,1003,2023-01-27,Mobile,South,Offline,5,74343,371715
5251,1148,2023-11-09,Mobile,West,Online,3,40705,122115
5252,1187,2023-10-14,Tablet,East,Online,2,34659,69318
5253,1164,2023-05-14,Laptop,South,Offline,3,12016,36048
5254,1147,2023-08-07,Accessories,North,Online,1,50992,50992
5255,1090,2023-06-17,Accessories,South,Online,4,29586,118344
5256,1195,2023-04-08,Laptop,East,Online,4,30980,123920
5257,1147,2023-09-25,Laptop,East,Online,7,52591,368137
5258,1148,2023-08-25,Laptop,South,Offline,6,48266,289596
5259,1096,2023-11-05,Mobile,North,Offline,1,39237,39237
5260,1199,2023-06-22,Mobile,South,Offline,2,9765,19530
5261,1052,2023-07-09,Mobile,North,Offline,1,71490,71490
5262,1161,2023-05-02,Software,South,Online,3,15886,47658
5263,1168,2023-02-15,Accessories,East,Online,1,37925,37925
5264,1128,2023-03-05,Accessories,West,Offline,1,43754,43754
5265,1039,2023-05-10,Tablet,West,Offline,7,54134,378938
5266,1082,2023-11-06,Mobile,North,Online,2,48162,96324
5267,1104,2023-12-29,Software,North,Offline,3,10643,31929
5268,1129,2023-07-12,Software,North,Offline,5,16081,80405
5269,1011,2023-11-03,Accessories,East,Online,7,67943,475601
5270,1185,2023-06-30,Mobile,South,Offline,5,29924,149620
5271,1178,2023-10-19,Tablet,East,Online,7,42484,297388
5272,1151,2023-10-09,Mobile,West,Online,4,42005,168020
5273,1159,2023-01-29,Laptop,North,Offline,7,63199,442393
5274,1042,2023-05-29,Mobile,South,Online,6,27457,164742
5275,1099,2023-09-24,Laptop,West,Offline,1,25964,25964
5276,1007,2023-10-23,Laptop,West,Online,4,24149,96596
5277,1144,2023-01-11,Tablet,West,Offline,2,42565,85130
5278,1090,2023-06-13,Accessories,East,Offline,5,35258,176290
5279,1112,2023-04-23,Mobile,North,Offline,7,6096,42672
5280,1060,2023-07-06,Laptop,West,Online,1,16874,16874
5281,1113,2023-10-22,Mobile,North,Online,2,4275,8550
5282,1002,2023-08-20,Accessories,East,Offline,6,27888,167328
5283,1129,2023-08-15,Accessories,West,Online,2,21529,43058
5284,1048,2023-11-06,Software,East,Offline,1,54139,54139
5285,1140,2023-04-08,Accessories,East,Offline,6,15145,90870
5286,1197,2023-02-24,Tablet,North,Online,2,31605,63210
5287,1037,2023-04-21,Laptop,West,Offline,6,14168,85008
5288,1160,2023-06-01,Software,East,Online,7,16460,115220
5289,1009,2023-09-03,Tablet,West,Offline,7,11857,82999
5290,1099,2023-03-10,Mobile,North,Online,1,65104,65104
5291,1147,2023-11-08,Laptop,East,Offline,1,52296,52296
5292,1048,2023-10-16,Accessories,North,Offline,6,16304,97824
5293,1131,2023-09-07,Laptop,West,Online,3,15126,45378
5294,1148,2023-02-05,Mobile,West,Offline,4,28632,114528
5295,1152,2023-08-27,Software,North,Offline,2,8451,16902
5296,1054,2023-05-28,Software,South,Online,2,6949,13898
5297,1120,2023-08-15,Software,East,Offline,3,19565,58695
5298,1161,2023-09-01,Accessories,West,Online,3,9630,28890
5299,1152,2023-12-03,Tablet,West,Offline,3,62787,188361
5300,1116,2023-12-31,Tablet,East,Online,5,52202,261010
5301,1075,2023-07-20,Laptop,North,Offline,5,37493,187465
5302,1113,2023-06-03,Accessories,North,Offline,6,32375,194250
5303,1200,2023-03-14,Software,North,Offline,5,6554,32770
5304,1164,2023-07-20,Software,South,Online,7,49017,343119
5305,1166,2023-10-23,Mobile,South,Online,7,30170,211190
5306,1104,2023-01-17,Mobile,West,Online,1,49612,49612
5307,1084,2023-05-09,Software,North,Online,6,28807,172842
5308,1112,2023-08-05,Software,East,Offline,2,67587,135174
5309,1099,2023-03-02,Accessories,West,Offline,4,48422,193688
5310,1153,2023-04-14,Tablet,East,Online,1,63580,63580
5311,1093,2023-02-11,Mobile,West,Online,2,26812,53624
5312,1146,2023-01-25,Tablet,South,Online,2,67485,134970
5313,1128,2023-02-08,Accessories,West,Offline,6,58108,348648
5314,1110,2023-10-18,Software,South,Online,3,40777,122331
5315,1082,2023-05-11,Tablet,West,Online,3,32051,96153
5316,1194,2023-08-17,Software,North,Offline,1,57097,57097
5317,1054,2023-04-18,Software,East,Offline,3,45712,137136
5318,1163,2023-06-21,Laptop,North,Online,2,10137,20274
5319,1189,2023-04-12,Tablet,West,Offline,3,43758,131274
5320,1169,2023-12-20,Tablet,West,Online,5,36193,180965
5321,1161,2023-01-12,Software,West,Offline,3,10324,30972
5322,1068,2023-10-02,Accessories,South,Online,2,27450,54900
5323,1033,2023-04-11,Laptop,East,Online,6,23988,143928
5324,1142,2023-02-13,Software,East,Online,1,715,715
5325,1021,2023-11-01,Mobile,West,Online,4,12023,48092
5326,1048,2023-01-17,Mobile,West,Offline,3,69189,207567
5327,1148,2023-11-26,Laptop,South,Offline,7,24334,170338
5328,1128,2023-02-26,Accessories,North,Offline,7,34974,244818
5329,1136,2023-11-07,Software,North,Offline,2,43566,87132
5330,1135,2023-10-30,Tablet,East,Online,4,10900,43600
5331,1195,2023-01-12,Laptop,South,Online,4,10845,43380
5332,1145,2023-11-14,Accessories,West,Offline,5,34396,171980
5333,1128,2023-03-21,Tablet,East,Offline,4,29399,117596
5334,1033,2023-08-04,Mobile,South,Offline,7,28729,201103
5335,1176,2023-12-05,Mobile,North,Offline,6,6083,36498
5336,1187,2023-09-21,Tablet,South,Offline,2,5397,10794
5337,1115,2023-05-29,Laptop,North,Online,2,72037,144074
5338,1119,2023-03-22,Mobile,South,Online,3,5067,15201
5339,1022,2023-08-03,Software,East,Online,3,13829,41487
5340,1158,2023-07-17,Tablet,North,Offline,3,72292,216876
5341,1038,2023-07-19,Tablet,East,Offline,7,728,5096
5342,1109,2023-01-25,Mobile,East,Offline,7,37552,262864
5343,1051,2023-03-30,Laptop,North,Offline,7,58269,407883
5344,1182,2023-09-25,Software,North,Online,7,46532,325724
5345,1008,2023-05-23,Laptop,West,Online,7,34186,239302
5346,1027,2023-02-28,Accessories,West,Offline,7,63761,446327
5347,1027,2023-12-31,Accessories,West,Online,6,3309,19854
5348,1021,2023-01-26,Mobile,East,Online,7,42285,295995
5349,1030,2023-02-16,Mobile,East,Offline,4,37047,148188
5350,1097,2023-10-15,Mobile,West,Offline,4,43318,173272
5351,1028,2023-09-23,Accessories,East,Offline,5,72427,362135
5352,1111,2023-01-16,Laptop,East,Offline,6,66181,397086
5353,1192,2023-07-18,Laptop,North,Offline,3,37833,113499
5354,1197,2023-10-09,Mobile,North,Offline,1,17076,17076
5355,1061,2023-03-27,Software,East,Online,7,39905,279335
5356,1048,2023-09-07,Laptop,West,Online,5,74279,371395
5357,1147,2023-09-27,Accessories,South,Offline,1,32101,32101
5358,1004,2023-12-01,Tablet,West,Online,4,68446,273784
5359,1035,2023-04-27,Tablet,South,Offline,5,67856,339280
5360,1192,2023-01-07,Tablet,West,Offline,5,52616,263080
5361,1049,2023-05-17,Software,North,Offline,2,63394,126788
5362,1017,2023-06-25,Mobile,East,Offline,4,35135,140540
5363,1172,2023-11-24,Accessories,East,Online,4,7965,31860
5364,1158,2023-11-11,Software,North,Offline,6,57254,343524
5365,1046,2023-08-03,Accessories,South,Online,5,39371,196855
5366,1117,2023-03-23,Accessories,South,Offline,7,63374,443618
5367,1006,2023-08-11,Mobile,South,Offline,4,30011,120044
5368,1099,2023-04-13,Tablet,North,Offline,5,49321,246605
5369,1124,2023-09-30,Mobile,South,Online,6,66276,397656
5370,1037,2023-01-14,Software,North,Offline,7,70667,494669
5371,1024,2023-06-08,Software,West,Offline,6,44962,269772
5372,1093,2023-06-01,Software,West,Offline,2,61882,123764
5373,1046,2023-04-18,Mobile,North,Online,7,33074,231518
5374,1181,2023-07-07,Accessories,East,Online,5,42410,212050
5375,1095,2023-10-28,Accessories,West,Online,4,74031,296124
5376,1099,2023-04-08,Laptop,South,Offline,4,25686,102744
5377,1188,2023-05-11,Software,North,Online,5,23313,116565
5378,1116,2023-10-20,Accessories,South,Offline,5,19057,95285
5379,1191,2023-06-20,Laptop,South,Online,5,28560,142800
5380,1160,2023-07-02,Accessories,East,Online,3,59366,178098
5381,1161,2023-12-30,Software,South,Offline,7,72604,508228
5382,1067,2023-02-08,Tablet,East,Online,4,6580,26320
5383,1128,2023-01-15,Software,West,Offline,7,14354,100478
5384,1018,2023-01-04,Mobile,North,Offline,6,68195,409170
5385,1025,2023-12-15,Accessories,South,Online,4,27525,110100
5386,1054,2023-07-29,Accessories,North,Offline,3,53482,160446
5387,1058,2023-06-10,Mobile,South,Offline,5,41581,207905
5388,1067,2023-01-16,Mobile,North,Online,2,4868,9736
5389,1104,2023-04-18,Tablet,South,Online,5,27594,137970
5390,1174,2023-11-07,Accessories,South,Offline,5,46540,232700
5391,1024,2023-08-15,Accessories,South,Online,3,67266,201798
5392,1114,2023-06-19,Tablet,South,Offline,7,24491,171437
5393,1032,2023-02-03,Laptop,South,Offline,4,1801,7204
5394,1175,2023-09-08,Tablet,South,Online,5,29110,145550
5395,1086,2023-09-04,Software,South,Online,4,35178,140712
5396,1151,2023-09-26,Accessories,South,Online,1,24966,24966
5397,1194,2023-05-21,Mobile,South,Online,6,41375,248250
5398,1127,2023-10-01,Software,North,Offline,7,26581,186067
5399,1155,2023-04-06,Accessories,East,Offline,4,24854,99416
5400,1130,2023-08-15,Tablet,South,Online,2,18800,37600
5401,1017,2023-02-08,Software,East,Online,6,64884,389304
5402,1104,2023-10-29,Accessories,South,Offline,2,61392,122784
5403,1161,2023-01-29,Laptop,South,Offline,5,36025,180125
5404,1137,2023-11-14,Laptop,North,Offline,6,27032,162192
5405,1043,2023-09-02,Mobile,West,Offline,4,6964,27856
5406,1176,2023-08-24,Accessories,West,Online,6,17062,102372
5407,1039,2023-07-04,Laptop,North,Offline,5,56014,280070
5408,1170,2023-09-29,Tablet,East,Offline,3,74719,224157
5409,1026,2023-08-24,Accessories,West,Online,7,33134,231938
5410,1099,2023-08-27,Tablet,North,Offline,2,560,1120
5411,1050,2023-09-23,Tablet,North,Offline,5,9769,48845
5412,1153,2023-12-25,Laptop,West,Online,3,63643,190929
5413,1152,2023-12-06,Accessories,East,Online,6,23565,141390
5414,1013,2023-03-06,Software,North,Online,6,3395,20370
5415,1060,2023-06-26,Laptop,South,Offline,5,12852,64260
5416,1135,2023-01-03,Laptop,East,Offline,4,50237,200948
5417,1057,2023-05-22,Accessories,East,Online,6,32516,195096
5418,1036,2023-06-07,Accessories,West,Online,4,61804,247216
5419,1173,2023-11-20,Tablet,West,Offline,4,12462,49848
5420,1020,2023-05-26,Accessories,South,Online,7,33802,236614
5421,1065,2023-10-20,Tablet,North,Online,4,4511,18044
5422,1008,2023-06-02,Laptop,West,Online,1,20282,20282
5423,1144,2023-07-12,Mobile,West,Offline,7,68191,477337
5424,1142,2023-03-14,Software,East,Offline,3,40225,120675
5425,1115,2023-11-01,Laptop,West,Offline,3,9696,29088
5426,1143,2023-12-10,Accessories,West,Offline,6,43959,263754
5427,1092,2023-05-20,Software,West,Offline,6,33269,199614
5428,1098,2023-07-06,Mobile,West,Offline,4,25200,100800
5429,1066,2023-10-20,Mobile,East,Online,7,5769,40383
5430,1032,2023-03-02,Tablet,South,Offline,7,44380,310660
5431,1191,2023-07-17,Software,South,Offline,1,8820,8820
5432,1086,2023-10-22,Tablet,North,Online,4,50089,200356
5433,1051,2023-11-15,Laptop,West,Offline,1,36397,36397
5434,1153,2023-10-29,Software,East,Offline,4,59065,236260
5435,1186,2023-12-10,Laptop,North,Online,2,31430,62860
5436,1063,2023-01-11,Tablet,North,Online,2,57733,115466
5437,1190,2023-03-03,Software,South,Online,5,14880,74400
5438,1125,2023-11-29,Tablet,East,Offline,4,71434,285736
5439,1150,2023-08-14,Software,East,Online,7,56330,394310
5440,1058,2023-06-02,Tablet,East,Offline,6,6029,36174
5441,1058,2023-07-18,Mobile,South,Offline,3,49678,149034
5442,1086,2023-02-21,Tablet,South,Offline,5,7437,37185
5443,1049,2023-09-17,Mobile,South,Offline,6,40386,242316
5444,1180,2023-02-28,Tablet,South,Online,2,50199,100398
5445,1170,2023-03-13,Software,South,Online,4,25779,103116
5446,1070,2023-05-28,Software,West,Offline,5,38606,193030
5447,1015,2023-12-15,Software,West,Online,4,41044,164176
5448,1054,2023-03-04,Accessories,East,Offline,2,9497,18994
